# Class red_S1 blue_S1 green_S1 nir_S1 swir_1_S1 swir_2_S1 red_edge_1_S1 red_edge_2_S1 red_edge_3_S1 edev_S1 sdev_S1 bcdev_S1 NDVI_S1 LAI_S1 MNDWI_S1 rain_S1 red_S2 blue_S2 green_S2 nir_S2 swir_1_S2 swir_2_S2 red_edge_1_S2 red_edge_2_S2 red_edge_3_S2 edev_S2 sdev_S2 bcdev_S2 NDVI_S2 LAI_S2 MNDWI_S2 rain_S2 red_S3 blue_S3 green_S3 nir_S3 swir_1_S3 swir_2_S3 red_edge_1_S3 red_edge_2_S3 red_edge_3_S3 edev_S3 sdev_S3 bcdev_S3 NDVI_S3 LAI_S3 MNDWI_S3 rain_S3 slope
1.000000 0.108228 0.066796 0.101545 0.296803 0.357807 0.266264 0.179269 0.265270 0.298982 2.559348 5.677587 3.123754 0.465582 1.033503 -0.557878 624.398315 0.137234 0.076494 0.104895 0.250256 0.388252 0.302680 0.177399 0.217847 0.245347 2.706626 6.726488 3.190641 0.291678 0.570467 -0.575492 55.893421 0.202612 0.131519 0.161854 0.306986 0.482714 0.406236 0.237251 0.276802 0.301590 2.291301 5.728382 3.099965 0.205391 0.503451 -0.494823 602.763977 0.833333
1.000000 0.142928 0.065749 0.100340 0.263427 0.336173 0.276680 0.189771 0.247640 0.268871 2.763885 6.580641 3.193290 0.296539 0.551536 -0.540120 417.760620 0.119481 0.053852 0.083883 0.273505 0.325878 0.259650 0.166933 0.245172 0.269825 3.158509 7.078963 3.515202 0.379910 0.739337 -0.591071 106.382286 0.150473 0.072957 0.105608 0.284784 0.365829 0.310654 0.200316 0.254456 0.278822 2.474662 6.103187 2.935957 0.312240 0.638490 -0.551925 558.000671 7.288690
1.000000 0.135987 0.069239 0.107939 0.279555 0.359271 0.287818 0.187799 0.257160 0.282722 2.412218 6.263478 2.885310 0.332553 0.669840 -0.536830 507.413361 0.188868 0.088293 0.130900 0.309354 0.388122 0.291069 0.233892 0.273099 0.299516 1.875133 6.274238 2.434874 0.235990 0.478046 -0.494047 76.609314 0.255202 0.126379 0.174675 0.341330 0.489092 0.411649 0.295331 0.312890 0.334734 2.134975 6.618748 2.850146 0.141787 0.278836 -0.472380 702.749451 3.773077
1.000000 0.068512 0.047113 0.070904 0.215662 0.241261 0.165697 0.108050 0.199805 0.225918 2.877966 5.910963 2.927909 0.517748 0.927306 -0.545733 436.249146 0.092291 0.054051 0.074957 0.183134 0.287317 0.213990 0.124163 0.158890 0.176225 2.601054 5.327544 2.769705 0.329787 0.499106 -0.586206 63.007416 0.113677 0.070610 0.092606 0.193444 0.326107 0.263427 0.139238 0.168799 0.186659 2.080958 4.675458 2.314479 0.259712 0.418119 -0.557665 552.622253 4.611655
1.000000 0.106691 0.069876 0.091476 0.204462 0.289769 0.236131 0.136733 0.184939 0.210660 2.669660 6.036956 2.871485 0.314221 0.551678 -0.520121 435.614136 0.126461 0.075053 0.097513 0.200949 0.341629 0.287171 0.155612 0.181289 0.200500 3.419653 7.331926 3.658401 0.227505 0.364338 -0.555894 62.935318 0.137806 0.086794 0.108546 0.205844 0.351534 0.302275 0.163205 0.189522 0.209125 2.023024 6.051731 2.360258 0.197989 0.327395 -0.528144 551.998535 1.178511
1.000000 0.063233 0.048630 0.065433 0.170793 0.208841 0.142121 0.094189 0.150687 0.171867 2.712230 4.760742 2.605212 0.459569 0.701189 -0.524110 437.081665 0.083935 0.057498 0.069285 0.134504 0.233102 0.179485 0.106128 0.123825 0.137383 3.133756 6.457799 3.026418 0.235584 0.267161 -0.543136 63.038315 0.083579 0.065581 0.072112 0.118712 0.232141 0.182309 0.096282 0.104443 0.115477 2.760765 5.956707 2.607905 0.173669 0.161349 -0.526169 553.213623 0.883883
1.000000 0.053211 0.039530 0.061245 0.260771 0.217560 0.146774 0.099389 0.229724 0.259736 2.197321 5.048045 2.388856 0.661058 1.344007 -0.563679 359.480560 0.068446 0.045189 0.059466 0.169200 0.245089 0.193889 0.098033 0.141656 0.159346 2.861799 4.878115 2.765922 0.419888 0.614516 -0.606911 174.568222 0.077224 0.059149 0.071054 0.137469 0.241357 0.214703 0.093692 0.117243 0.129114 2.355829 4.704236 2.231652 0.291565 0.368638 -0.546681 578.952454 2.357023
1.000000 0.147718 0.085299 0.112471 0.256566 0.409353 0.344266 0.182628 0.232914 0.258363 2.312238 6.411057 2.820581 0.264666 0.525093 -0.567546 313.555237 0.154338 0.087748 0.115621 0.262449 0.429817 0.377211 0.192647 0.236142 0.259134 2.927664 7.304624 3.403500 0.259531 0.521362 -0.576044 360.551697 0.140665 0.083985 0.113916 0.276441 0.405073 0.335062 0.187995 0.262543 0.287272 2.563276 6.493590 3.120505 0.317178 0.677724 -0.561687 637.458801 0.589256
1.000000 0.168447 0.091588 0.126909 0.304278 0.447557 0.375433 0.218050 0.273653 0.298328 2.671026 6.544114 3.304264 0.288803 0.643756 -0.556308 315.274384 0.183561 0.096607 0.129957 0.290807 0.481023 0.428399 0.222336 0.264488 0.286015 2.969344 7.346606 3.743557 0.229690 0.481798 -0.577587 357.104065 0.166135 0.092465 0.130474 0.321892 0.437162 0.360036 0.219257 0.291909 0.316385 2.394103 6.216068 3.168278 0.318988 0.744955 -0.538872 635.280518 2.699462
1.000000 0.086974 0.055900 0.078318 0.240012 0.266995 0.203072 0.120733 0.225953 0.254602 2.449889 5.141081 2.736643 0.464182 0.912084 -0.540059 368.978882 0.099525 0.059873 0.079561 0.203764 0.304973 0.249154 0.134470 0.177290 0.197319 2.554167 4.711240 2.681349 0.343178 0.575604 -0.584557 173.563904 0.124630 0.079029 0.098108 0.196780 0.334270 0.301057 0.149213 0.174248 0.189983 2.521327 5.758412 2.815952 0.222242 0.364173 -0.546194 561.003357 3.584302
1.000000 0.074143 0.050574 0.086872 0.300477 0.247154 0.157572 0.140191 0.266460 0.303271 2.268567 4.973064 2.580359 0.603351 1.369197 -0.479848 485.482178 0.140184 0.075777 0.104018 0.242005 0.356757 0.267774 0.173497 0.206110 0.228953 2.491351 5.609981 2.943065 0.269966 0.500454 -0.548560 57.130219 0.186187 0.103777 0.134766 0.261438 0.437357 0.369130 0.214005 0.232299 0.254168 2.379702 6.982452 2.893339 0.173055 0.323599 -0.528893 589.403625 4.059757
1.000000 0.056283 0.040808 0.055376 0.155393 0.199173 0.134834 0.080248 0.134918 0.157047 2.662089 5.006275 2.555645 0.472303 0.640341 -0.562072 485.000488 0.074698 0.051407 0.064313 0.134506 0.223752 0.172077 0.094820 0.120271 0.132362 2.838848 4.888276 2.682844 0.283535 0.328619 -0.553401 57.873859 0.079848 0.062883 0.068791 0.109382 0.240212 0.193874 0.090915 0.096298 0.106964 2.971804 6.102158 2.719366 0.155053 0.120229 -0.554756 592.633240 0.833333
1.000000 0.135421 0.061995 0.099906 0.285773 0.360858 0.288280 0.190556 0.259429 0.284753 2.527481 5.764983 3.026427 0.354600 0.696622 -0.566563 344.416412 0.146101 0.064959 0.099581 0.277356 0.375932 0.318853 0.194333 0.257637 0.282172 3.252023 6.959173 3.727069 0.308739 0.589322 -0.580382 418.415466 0.149242 0.063021 0.102149 0.294264 0.398437 0.340481 0.205818 0.269623 0.294915 2.813143 7.608884 3.321495 0.328712 0.649443 -0.591182 673.299805 1.946179
1.000000 0.095813 0.057915 0.084451 0.216284 0.286924 0.236462 0.135524 0.193336 0.211693 2.770613 5.979705 2.960746 0.374534 0.657033 -0.545994 359.121063 0.100972 0.058000 0.076933 0.192642 0.311813 0.274546 0.130807 0.169986 0.188584 2.956186 6.157931 3.185480 0.318385 0.523524 -0.604197 173.431610 0.092122 0.061053 0.077894 0.166080 0.269404 0.243792 0.113938 0.148001 0.161959 1.987672 4.512205 2.154375 0.281957 0.394349 -0.550585 577.965942 3.584302
1.000000 0.108051 0.059643 0.095463 0.315670 0.311443 0.224249 0.167017 0.281104 0.312843 2.437706 5.957406 2.917927 0.489989 1.113253 -0.521558 485.822571 0.154440 0.077286 0.109589 0.253295 0.373602 0.307134 0.189601 0.228550 0.251583 2.433460 5.529689 2.874448 0.242450 0.439427 -0.546396 57.491394 0.196982 0.098900 0.136822 0.274443 0.437593 0.388478 0.229203 0.249447 0.269574 2.170166 6.908002 2.882960 0.163580 0.294673 -0.520606 591.685913 2.946278
1.000000 0.083641 0.055337 0.081374 0.230549 0.257700 0.194233 0.120887 0.203373 0.227114 2.472578 5.606934 2.638940 0.470835 0.901920 -0.520630 357.705994 0.075484 0.051571 0.066396 0.190846 0.254790 0.193225 0.109401 0.172106 0.194451 2.615177 4.613976 2.565795 0.428765 0.706710 -0.584254 174.488708 0.082559 0.061136 0.074763 0.154996 0.250824 0.217706 0.104627 0.139174 0.153717 2.074558 3.943564 2.039904 0.303753 0.426905 -0.539505 580.039795 1.317616
1.000000 0.145996 0.070067 0.106304 0.278594 0.363911 0.273254 0.182670 0.247942 0.274821 2.422663 5.499944 3.009752 0.312295 0.618213 -0.547849 331.663879 0.128193 0.065204 0.097183 0.290407 0.381036 0.299962 0.174552 0.257225 0.283238 2.898611 7.459662 3.366254 0.387515 0.816219 -0.593564 397.080597 0.138259 0.072009 0.105703 0.302630 0.388536 0.306256 0.183878 0.262390 0.291179 2.735997 6.755667 3.201488 0.372818 0.815812 -0.572261 638.909607 6.588078
1.000000 0.093085 0.053034 0.083335 0.230192 0.281807 0.210612 0.140888 0.207460 0.232005 2.098139 4.015791 2.317661 0.429798 0.792412 -0.543546 332.319946 0.095075 0.055930 0.082940 0.236500 0.296135 0.228123 0.136801 0.211702 0.238835 2.383887 5.640998 2.659944 0.420634 0.786322 -0.568415 448.442871 0.139368 0.071565 0.103622 0.229952 0.361128 0.308650 0.171993 0.217278 0.239497 2.003083 5.127796 2.347462 0.250663 0.438243 -0.553804 804.632080 5.034603
1.000000 0.068944 0.036949 0.061565 0.265048 0.275375 0.182453 0.123150 0.216572 0.253777 3.499314 7.182458 3.671519 0.578962 1.152687 -0.636645 398.632629 0.050639 0.035288 0.061774 0.295066 0.222580 0.132324 0.110339 0.239228 0.285784 2.835194 5.970711 2.992239 0.699810 1.541843 -0.564530 527.147095 0.047624 0.034391 0.074861 0.375505 0.223398 0.122386 0.129635 0.314491 0.369263 2.593311 6.401872 2.892236 0.774846 1.990010 -0.494682 925.279602 32.609867
1.000000 0.133253 0.069428 0.101544 0.262794 0.415561 0.341515 0.181346 0.234092 0.259240 2.279469 6.010571 2.876038 0.332696 0.677785 -0.606562 331.304199 0.143816 0.076715 0.105819 0.252510 0.454473 0.393011 0.181913 0.216300 0.243540 2.835413 7.254970 3.452016 0.263679 0.493120 -0.617291 417.690826 0.144101 0.073051 0.105066 0.279156 0.453581 0.386991 0.186683 0.248275 0.274451 2.446821 6.407587 3.067536 0.326265 0.665284 -0.626198 807.200928 7.071068
1.000000 0.054590 0.035132 0.059597 0.266141 0.231633 0.145815 0.108826 0.225390 0.266117 3.843387 7.782978 3.941854 0.659538 1.320549 -0.590728 395.540802 0.048179 0.036021 0.061535 0.289068 0.209779 0.120999 0.110712 0.250965 0.294837 3.158401 6.498899 3.381593 0.714277 1.547878 -0.546399 521.405640 0.050489 0.039046 0.075372 0.381247 0.216659 0.117186 0.134523 0.329818 0.388137 2.670247 6.347919 3.008627 0.766092 2.032184 -0.483932 915.980042 25.310572
