# Class red_S1 blue_S1 green_S1 nir_S1 swir_1_S1 swir_2_S1 red_edge_1_S1 red_edge_2_S1 red_edge_3_S1 NDVI_S1 LAI_S1 rain_S1 red_S2 blue_S2 green_S2 nir_S2 swir_1_S2 swir_2_S2 red_edge_1_S2 red_edge_2_S2 red_edge_3_S2 NDVI_S2 LAI_S2 rain_S2 red_S3 blue_S3 green_S3 nir_S3 swir_1_S3 swir_2_S3 red_edge_1_S3 red_edge_2_S3 red_edge_3_S3 NDVI_S3 LAI_S3 rain_S3 slope
1.000000 0.135987 0.069239 0.107939 0.279555 0.359271 0.287818 0.187799 0.257160 0.282722 0.332553 0.669840 507.413361 0.188868 0.088293 0.130900 0.309354 0.388122 0.291069 0.233892 0.273099 0.299516 0.235990 0.478046 76.609314 0.255202 0.126379 0.174675 0.341330 0.489092 0.411649 0.295331 0.312890 0.334734 0.141787 0.278836 702.749451 3.773077
1.000000 0.068512 0.047113 0.070904 0.215662 0.241261 0.165697 0.108050 0.199805 0.225918 0.517748 0.927306 436.249146 0.092291 0.054051 0.074957 0.183134 0.287317 0.213990 0.124163 0.158890 0.176225 0.329787 0.499106 63.007416 0.113677 0.070610 0.092606 0.193444 0.326107 0.263427 0.139238 0.168799 0.186659 0.259712 0.418119 552.622253 4.611655
1.000000 0.106691 0.069876 0.091476 0.204462 0.289769 0.236131 0.136733 0.184939 0.210660 0.314221 0.551678 435.614136 0.126461 0.075053 0.097513 0.200949 0.341629 0.287171 0.155612 0.181289 0.200500 0.227505 0.364338 62.935318 0.137806 0.086794 0.108546 0.205844 0.351534 0.302275 0.163205 0.189522 0.209125 0.197989 0.327395 551.998535 1.178511
1.000000 0.108051 0.059643 0.095463 0.315670 0.311443 0.224249 0.167017 0.281104 0.312843 0.489989 1.113253 485.822571 0.154440 0.077286 0.109589 0.253295 0.373602 0.307134 0.189601 0.228550 0.251583 0.242450 0.439427 57.491394 0.196982 0.098900 0.136822 0.274443 0.437593 0.388478 0.229203 0.249447 0.269574 0.163580 0.294673 591.685913 2.946278
1.000000 0.063233 0.048630 0.065433 0.170793 0.208841 0.142121 0.094189 0.150687 0.171867 0.459569 0.701189 437.081665 0.083935 0.057498 0.069285 0.134504 0.233102 0.179485 0.106128 0.123825 0.137383 0.235584 0.267161 63.038315 0.083579 0.065581 0.072112 0.118712 0.232141 0.182309 0.096282 0.104443 0.115477 0.173669 0.161349 553.213623 0.883883
1.000000 0.056283 0.040808 0.055376 0.155393 0.199173 0.134834 0.080248 0.134918 0.157047 0.472303 0.640341 485.000488 0.074698 0.051407 0.064313 0.134506 0.223752 0.172077 0.094820 0.120271 0.132362 0.283535 0.328619 57.873859 0.079848 0.062883 0.068791 0.109382 0.240212 0.193874 0.090915 0.096298 0.106964 0.155053 0.120229 592.633240 0.833333
1.000000 0.074143 0.050574 0.086872 0.300477 0.247154 0.157572 0.140191 0.266460 0.303271 0.603351 1.369197 485.482178 0.140184 0.075777 0.104018 0.242005 0.356757 0.267774 0.173497 0.206110 0.228953 0.269966 0.500454 57.130219 0.186187 0.103777 0.134766 0.261438 0.437357 0.369130 0.214005 0.232299 0.254168 0.173055 0.323599 589.403625 4.059757
1.000000 0.147718 0.085299 0.112471 0.256566 0.409353 0.344266 0.182628 0.232914 0.258363 0.264666 0.525093 313.555237 0.154338 0.087748 0.115621 0.262449 0.429817 0.377211 0.192647 0.236142 0.259134 0.259531 0.521362 360.551697 0.140665 0.083985 0.113916 0.276441 0.405073 0.335062 0.187995 0.262543 0.287272 0.317178 0.677724 637.458801 0.589256
1.000000 0.086974 0.055900 0.078318 0.240012 0.266995 0.203072 0.120733 0.225953 0.254602 0.464182 0.912084 368.978882 0.099525 0.059873 0.079561 0.203764 0.304973 0.249154 0.134470 0.177290 0.197319 0.343178 0.575604 173.563904 0.124630 0.079029 0.098108 0.196780 0.334270 0.301057 0.149213 0.174248 0.189983 0.222242 0.364173 561.003357 3.584302
1.000000 0.135421 0.061995 0.099906 0.285773 0.360858 0.288280 0.190556 0.259429 0.284753 0.354600 0.696622 344.416412 0.146101 0.064959 0.099581 0.277356 0.375932 0.318853 0.194333 0.257637 0.282172 0.308739 0.589322 418.415466 0.149242 0.063021 0.102149 0.294264 0.398437 0.340481 0.205818 0.269623 0.294915 0.328712 0.649443 673.299805 1.946179
1.000000 0.168447 0.091588 0.126909 0.304278 0.447557 0.375433 0.218050 0.273653 0.298328 0.288803 0.643756 315.274384 0.183561 0.096607 0.129957 0.290807 0.481023 0.428399 0.222336 0.264488 0.286015 0.229690 0.481798 357.104065 0.166135 0.092465 0.130474 0.321892 0.437162 0.360036 0.219257 0.291909 0.316385 0.318988 0.744955 635.280518 2.699462
